id,category,yoga_type
1,MENTAL_STRESS,Pranayama
2,MENTAL_STRESS,Meditation
3,MENTAL_STRESS,Savasana
4,SLEEP_INSOMNIA,Yoga Nidra
5,SLEEP_INSOMNIA,Pranayama
6,SLEEP_INSOMNIA,Supine Twist
7,ENERGY_FATIGUE,Surya Namaskar
8,ENERGY_FATIGUE,Kapalbhati
9,ENERGY_FATIGUE,Mountain Pose
10,BACK_PAIN,Cat Cow Pose
11,BACK_PAIN,Cobra Pose
12,BACK_PAIN,Child Pose
13,OBESITY,Surya Namaskar
14,OBESITY,Warrior Pose
15,OBESITY,Plank Pose
16,FLEXIBILITY,Forward Bend
17,FLEXIBILITY,Butterfly Pose
18,FLEXIBILITY,Triangle Pose
19,GENERAL_FITNESS,Sun Salutation
20,GENERAL_FITNESS,Tree Pose
21,GENERAL_FITNESS,Downward Dog
22,DIGESTION_PROBLEMS,Pawanmuktasana
23,DIGESTION_PROBLEMS,Seated Twist
24,DIGESTION_PROBLEMS,Vajrasana
25,NECK_SHOULDER_PAIN,Neck Rolls
26,NECK_SHOULDER_PAIN,Shoulder Shrugs
27,NECK_SHOULDER_PAIN,Eagle Arms
